Year,TimePeriod,OriginName,DestinationName,Flow,type,OriginLat,OriginLon,DestinationLat,DestinationLon
2019,AM PEAK,Waterloo,Bond Street,8250.0,IN,51.50314645678346,-0.11325925125819598,51.513797282327445,-0.14961360853164615
2019,INTER PEAK,London Bridge,Bond Street,7395.0,IN,51.50467420930433,-0.08600559774813961,51.513797282327445,-0.14961360853164615
2019,PM PEAK,London Bridge,Bond Street,3500.0,IN,51.50467420930433,-0.08600559774813961,51.513797282327445,-0.14961360853164615
2019,AM PEAK,London Bridge,Bond Street,6668.0,IN,51.50467420930433,-0.08600559774813961,51.513797282327445,-0.14961360853164615
2019,INTER PEAK,Liverpool Street,Bond Street,4587.0,IN,51.51759813225402,-0.08224962188885442,51.513797282327445,-0.14961360853164615
2019,PM PEAK,Canary Wharf,Bond Street,3367.0,IN,51.50357837512887,-0.019466840139324412,51.513797282327445,-0.14961360853164615
2019,AM PEAK,Liverpool Street,Bond Street,2923.0,IN,51.51759813225402,-0.08224962188885442,51.513797282327445,-0.14961360853164615
2019,INTER PEAK,Waterloo,Bond Street,4558.0,IN,51.50314645678346,-0.11325925125819598,51.513797282327445,-0.14961360853164615
2019,PM PEAK,Liverpool Street,Bond Street,2912.0,IN,51.51759813225402,-0.08224962188885442,51.513797282327445,-0.14961360853164615
2019,AM PEAK,Canary Wharf,Bond Street,2633.0,IN,51.50357837512887,-0.019466840139324412,51.513797282327445,-0.14961360853164615
2019,INTER PEAK,Bank,Bond Street,4111.0,IN,51.51334691914183,-0.08900012349437465,51.513797282327445,-0.14961360853164615
2019,PM PEAK,Bank,Bond Street,2843.0,IN,51.51334691914183,-0.08900012349437465,51.513797282327445,-0.14961360853164615
2019,AM PEAK,North Greenwich,Bond Street,2303.0,IN,51.5002551610895,0.003586259125950833,51.513797282327445,-0.14961360853164615
2019,INTER PEAK,Canary Wharf,Bond Street,3692.0,IN,51.50357837512887,-0.019466840139324412,51.513797282327445,-0.14961360853164615
2019,PM PEAK,St. Pauls,Bond Street,1985.0,IN,51.514835138739876,-0.09757100011698537,51.513797282327445,-0.14961360853164615
2019,AM PEAK,Victoria,Green Park,7213.0,IN,51.49642371956767,-0.14392070512630392,51.50676025371464,-0.1424775744225331
2019,INTER PEAK,Victoria,Green Park,7946.0,IN,51.49642371956767,-0.14392070512630392,51.50676025371464,-0.1424775744225331
2019,PM PEAK,Canary Wharf,Green Park,3020.0,IN,51.50357837512887,-0.019466840139324412,51.50676025371464,-0.1424775744225331
2019,AM PEAK,Waterloo,Green Park,6189.0,IN,51.50314645678346,-0.11325925125819598,51.50676025371464,-0.1424775744225331
2019,INTER PEAK,London Bridge,Green Park,5570.0,IN,51.50467420930433,-0.08600559774813961,51.50676025371464,-0.1424775744225331
2019,PM PEAK,Victoria,Green Park,2397.0,IN,51.49642371956767,-0.14392070512630392,51.50676025371464,-0.1424775744225331
2019,AM PEAK,Brixton,Green Park,5680.0,IN,51.46273661697816,-0.11455209682922837,51.50676025371464,-0.1424775744225331
2019,INTER PEAK,Kings Cross St. Pancras,Green Park,4627.0,IN,51.53031226194627,-0.12387212868703427,51.50676025371464,-0.1424775744225331
2019,PM PEAK,London Bridge,Green Park,2336.0,IN,51.50467420930433,-0.08600559774813961,51.50676025371464,-0.1424775744225331
2019,AM PEAK,London Bridge,Green Park,5018.0,IN,51.50467420930433,-0.08600559774813961,51.50676025371464,-0.1424775744225331
2019,INTER PEAK,Canary Wharf,Green Park,4011.0,IN,51.50357837512887,-0.019466840139324412,51.50676025371464,-0.1424775744225331
2019,PM PEAK,Kings Cross St. Pancras,Green Park,1428.0,IN,51.53031226194627,-0.12387212868703427,51.50676025371464,-0.1424775744225331
2019,AM PEAK,Vauxhall,Green Park,4431.0,IN,51.48573560145266,-0.12382995197041927,51.50676025371464,-0.1424775744225331
2019,INTER PEAK,Waterloo,Green Park,3778.0,IN,51.50314645678346,-0.11325925125819598,51.50676025371464,-0.1424775744225331
2019,PM PEAK,Waterloo,Green Park,1387.0,IN,51.50314645678346,-0.11325925125819598,51.50676025371464,-0.1424775744225331
2019,AM PEAK,Bank,Waterloo,2872.0,IN,51.51334691914183,-0.08900012349437465,51.50314645678346,-0.11325925125819598
2019,INTER PEAK,Bank,Waterloo,8190.0,IN,51.51334691914183,-0.08900012349437465,51.50314645678346,-0.11325925125819598
2019,PM PEAK,Bank,Waterloo,38064.0,IN,51.51334691914183,-0.08900012349437465,51.50314645678346,-0.11325925125819598
2019,AM PEAK,Euston,Waterloo,2238.0,IN,51.528664114832,-0.13329647081915122,51.50314645678346,-0.11325925125819598
2019,INTER PEAK,London Bridge,Waterloo,5967.0,IN,51.50467420930433,-0.08600559774813961,51.50314645678346,-0.11325925125819598
2019,PM PEAK,Canary Wharf,Waterloo,14154.0,IN,51.50357837512887,-0.019466840139324412,51.50314645678346,-0.11325925125819598
2019,AM PEAK,Paddington,Waterloo,2168.0,IN,51.51539350022652,-0.17573675026577226,51.50314645678346,-0.11325925125819598
2019,INTER PEAK,Canary Wharf,Waterloo,3920.0,IN,51.50357837512887,-0.019466840139324412,51.50314645678346,-0.11325925125819598
2019,PM PEAK,Piccadilly Circus,Waterloo,7375.0,IN,51.50969653217059,-0.13371159615907627,51.50314645678346,-0.11325925125819598
2019,AM PEAK,Canary Wharf,Waterloo,1788.0,IN,51.50357837512887,-0.019466840139324412,51.50314645678346,-0.11325925125819598
2019,INTER PEAK,Kings Cross St. Pancras,Waterloo,3318.0,IN,51.53031226194627,-0.12387212868703427,51.50314645678346,-0.11325925125819598
