Station,Cluster,Line,Latitude,Longitude,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00
East Acton,3,Central,51.51626301045364,-0.2481122212813141,-1.6755122157287254,-0.5153644817408952,1.5964246293051307,1.8038607148679844,0.08536845739661245,-0.821773570708576,-0.9800980307614746,-0.9305219353722887,-0.7437736610465241,-0.614075255599374,-0.11265318790843434,0.6393387245258626,1.3849237871359825,1.368507893979466,0.42669620728058116,-0.21438624332186235,-0.3804277837300293,-0.3165340485734352
White City,5,Central,51.51223207227981,-0.2246319285152728,-1.3831981775096736,-0.6336874750374728,1.5016803708849085,2.361601558669178,1.8430532785527103,0.5339945449445008,-0.24160873805662794,-0.4055852632910513,-0.39264363134434,-0.3872825104561934,-0.29198352524165205,-0.0007249250177610187,0.2869605949516302,0.17957639648237636,-0.3362144227890907,-0.768090103212289,-0.9183505369697965,-0.9474974355593504
Shepherds Bush,3,Central,51.504531795613886,-0.2185191566688487,-2.137511204682694,-0.8196985014347563,1.2676996819070798,1.144934188359307,0.13478093033569588,-0.3801677263991373,-0.5179680025203537,-0.44007069533750887,-0.3467311098281004,-0.23005267415840064,0.08963147237548108,0.8066954431381981,1.6405839814351815,1.6723393842077012,0.37232024696465865,-0.5523435385391976,-0.8445621431908028,-0.8598797326323511
Holland Park,5,Central,51.50714614814041,-0.20655777541232848,-1.6472858781643578,-1.2236237281428255,1.1517435435448176,2.933304441175569,0.6948832531399506,-0.16085769399831748,-0.2995527832224805,-0.2563695338125939,-0.2655834855491919,-0.32326320252074114,0.02550007399908402,0.405278627432444,0.5532215023910381,0.4811413228299025,-0.09736324427664436,-0.5759302977289142,-0.7307765108745785,-0.6644664062221544
Notting Hill Gate,4,Central,51.50937501801177,-0.19592161622639087,-2.1854444040206165,-1.5277645378324525,0.832575468588387,1.9767142566198632,0.7127964371640971,0.27478469046919335,-0.017885865578544418,-0.011403812689010976,-0.09321771926949037,-0.0951624735121922,0.23257109005037788,0.6772078265953043,0.9208277254563013,0.9148722899699747,0.07853712099695163,-0.6783032921234641,-1.0008506337223027,-1.0108541671623819
Queensway,4,Central,51.51044892854765,-0.1874199010483689,-2.2933270482238326,-1.247795490689008,1.561547622210809,1.6650305963731105,-0.4075903399553772,-0.891069668572405,-0.7801144492278479,-0.5915449470579268,-0.41312953125783297,-0.15908595137488665,0.3718779040138336,0.8143387279021446,1.0969987100582257,0.8329368201931431,0.22221340479396146,-0.06016014704574759,-0.04463135677012306,0.32350514462975744
Lancaster Gate,4,Central,51.511890658328326,-0.17542992678979158,-2.3818209048027326,-1.7629832645570238,-0.3090563335056296,0.7091440543206573,-0.13212053820658712,-0.5482958375725904,-0.44759533982732486,-0.16900447347995196,-0.13100903019302065,0.2796943950217086,0.7616729499841328,1.3436604352130495,1.6550457715214857,1.2881770935374697,0.17962674311324447,-0.3115984341887656,-0.19101060992279803,0.16747332354467667
Marble Arch,4,Central,51.51396523465938,-0.15857121479275763,-1.9227864533665335,-0.9578922441939838,0.5018036743726436,2.1023989360791586,1.397267085258308,0.15758301530951335,-0.012148045398186003,0.029835323841751128,-0.001370462418259557,0.017313706595680902,0.275652010402147,0.5426995170731476,0.8199491223066985,0.73571665085709,-0.20200556580033965,-0.9555004249605553,-1.2513436233872866,-1.2771722225709963
Bond Street,5,Central & Jubilee,51.513797282327445,-0.14961360853164615,-1.6154111983642496,-0.7619965194797451,0.724615250778421,2.034644535675426,1.4683708427609181,0.5153488631832606,0.3660809164521648,0.3685253806997427,0.2741903168893475,0.10033389929965032,0.13929087941077026,0.2638026020447752,0.4706176614265677,0.3145582639630735,-0.5756161061983958,-1.1739446106484341,-1.4051872467928839,-1.508223731100409
Oxford Circus,5,Central & Victoria,51.51522317440166,-0.1408361701333405,-1.6727377879106093,-1.0241036348837462,0.010302115906923641,1.683392843156198,1.6818681615624997,0.6850799015505975,0.4707773322650462,0.4569177664493284,0.2719067022567786,0.11055223030963938,0.19382508136886228,0.3772529003673971,0.676662010243167,0.5149928263968622,-0.43838710630229555,-1.109359729236568,-1.3904514767108966,-1.4984901367891834
