Station,Cluster,Line,Latitude,Longitude,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00
West Ruislip,0,Central,51.56958715703546,-0.4378601343740381,-1.2106955341132515,-0.9175627888441911,-0.33276745141261954,-0.05247136563618009,-0.5711392740702774,-0.8070778687368519,-0.7998582643301448,-0.7140745961237727,-0.6312582014537864,-0.4494328937238704,0.04428696950465555,0.6423704711797558,1.8057969779463758,2.343518846400458,1.547594419161213,0.4601802769888831,-0.09867247865037729,-0.25873724408601484
Ruislip Gardens,0,Central,51.55995951052218,-0.40929410137403394,-1.0848064713143013,-0.8218359419561915,-0.07999156644825357,-0.04085361587022744,-0.6999827792145599,-0.8493808795392858,-0.8188211832569959,-0.7767204786719226,-0.6488180682510408,-0.42982488512821665,-0.12041301537439332,0.6010694658470296,1.8137154404208238,2.449229158349486,1.498683752908884,0.30126418564782526,-0.09553187407320754,-0.19698124407545078
South Ruislip,0,Central,51.55688965147795,-0.3991159010068219,-1.0905573196925074,-0.849289089122075,-0.3265165875179833,-0.08889847696725729,-0.5112783106602785,-0.7799522505454239,-0.7656317363658148,-0.6930911896070221,-0.5634168527621429,-0.36251049230254845,-0.05334350681883621,0.6393431023206694,1.9408046317314338,2.5294375123986494,1.34815538664983,0.1853175653055755,-0.2269555670545133,-0.33161681898975226
Northolt,1,Central,51.54821230018008,-0.3684405875976204,-1.1002576398809445,-0.9080957990747116,-0.43102453566063337,-0.25617413201323996,-0.6822724019058339,-0.8333971259539256,-0.774608156268071,-0.6844132954670619,-0.5472532741007597,-0.33006634192092066,0.038097738307927564,0.9437189288928673,2.0180250303781477,2.324569662738199,1.2377158889718456,0.3182438119378363,-0.06699171446384998,-0.26581664451687087
Greenford,2,Central,51.54197950701463,-0.3458787331310219,-1.2664243347506292,-0.5535212213843611,0.7034371568993614,0.38017924151325594,-0.5300826458395198,-0.9632073534057253,-0.9407962835329506,-0.8210200344122429,-0.5713553360500692,-0.4752920617818914,-0.21139462958372007,0.5838591869817739,2.1639138936088043,2.208269541122887,0.9561666802787735,0.047677930492423616,-0.26376990294112257,-0.446639827215048
Perivale,3,Central,51.53634129467288,-0.3230704159011666,-1.335115894229758,-0.8307569403951683,-0.16178086557478982,0.13385444115703643,-0.18252132964014792,-0.7044104052970066,-0.8805873993634107,-0.817935995328003,-0.6243305654859199,-0.36394773432572025,0.040722095400844524,0.8327386212648993,2.0992455821686073,2.357550538459129,1.0145784792610326,0.13909790083985607,-0.25406275928235783,-0.4623377696291155
Hanger Lane,4,Central,51.5300715563412,-0.29299614055716494,-1.4872747174839203,-0.7631020571807174,0.7650682367520858,1.6111131724019705,0.9607536929529551,-0.581057377108345,-0.9669138628617621,-0.9281740759872245,-0.8247166570122202,-0.6825269140996368,-0.402330630081071,0.5268176999133227,1.575150524595775,1.6982559838625484,0.6906494576556197,-0.1922662138198416,-0.45741526752100076,-0.5420309949785385
Ealing Broadway,3,Central,51.51486148277942,-0.3020103761336258,-1.5245990650738237,-1.2199478623182,-0.24535906214714373,0.5225408226821239,0.01196813625570747,-0.6411280879185104,-0.7309428572199103,-0.6159281285068301,-0.48772925613328144,-0.350983250142863,-0.0651064145601654,0.7782810592817004,1.950465805731361,2.2860181272732687,1.0797941221752405,0.07788643395386544,-0.3246035253069662,-0.5006269980255758
West Acton,3,Central,51.51776969314101,-0.28065717090448683,-1.5561961616976157,-1.202030594439207,0.0019890578345094596,1.368724325855329,-0.19380043908247205,-0.9429388110558237,-0.9653087033396995,-0.8358765946244262,-0.6883843742347598,-0.38023690522299747,0.34781558432526455,0.8487070727661474,1.6561394967047036,1.888046587646244,0.8998611928880396,0.16774618572679328,-0.13025482887951043,-0.284002091170515
North Acton,4,Central,51.523432004609894,-0.2597295239222282,-1.517826333314564,-0.1601460094197266,1.9348704286702403,2.03977296052598,0.9254362879240827,-0.6493742191154467,-0.9809211537201965,-0.892946945387658,-0.7300028545065486,-0.6677612924591771,-0.4246580496273926,0.21930460758032289,1.0009493113471448,0.9790656211657822,0.16174487145377622,-0.29888785564591835,-0.4204548040011257,-0.5181645714695737
East Acton,1,Central,51.51626301045364,-0.2481122212813141,-1.6106576100924075,-0.8917663106616806,0.9004068241204533,1.6154817950712927,0.24931717850605015,-0.8080421400987373,-0.9890841145599396,-0.9152943352574429,-0.7307469762905864,-0.5893724490234409,-0.08374465591426486,0.636787336068523,1.5785940683551172,1.7595433552840614,0.6929124186807709,-0.06772448323086461,-0.2907306980559005,-0.45587920290100575
White City,3,Central,51.51223207227981,-0.2246319285152728,-1.254052066336634,-0.7555298189649147,0.7686463612537204,2.282597486907741,2.3108523448952436,0.8332055324491402,-0.2490129599867562,-0.42159022090117,-0.42793217620658536,-0.4504982620501746,-0.37270487614578957,-0.09591599155136565,0.30678479288209576,0.24239931675700105,-0.2697219987988283,-0.6904850846348188,-0.8533471781276887,-0.9036952014402133
