Station,Cluster,Line,Latitude,Longitude,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00
West Ruislip,0,Central,51.56958715703546,-0.4378601343740381,-0.5630797313944088,0.6206982297674543,2.650334918351038,2.3980937761647505,0.41099841187846753,-0.19908197096576716,-0.34120162900274514,-0.41064336797973783,-0.48049226977894455,-0.5021566965677877,-0.3513392353548341,-0.02728020866379952,0.06093823047242428,-0.22414543802256523,-0.5655386529207267,-0.7741749935550573,-0.838491388199739,-0.8634379842280178
Ruislip Gardens,0,Central,51.55995951052218,-0.40929410137403394,-0.3394855506155112,0.9243074682009211,2.817622855745687,2.1618807057134775,0.3753361235426302,-0.22313497840906102,-0.3606593917649111,-0.3956604237597604,-0.4605645098899918,-0.3841644505167253,-0.1672461561628481,-0.2601118886252157,-0.2844711406162658,-0.43755565900658566,-0.6476012963638126,-0.7425261071464097,-0.7804583107649544,-0.7955072895606661
South Ruislip,0,Central,51.55688965147795,-0.3991159010068219,-0.3949141837229973,1.107535188241076,2.7404611051986385,2.0762230061184312,0.4848442291139346,-0.2271083437983276,-0.382277300070775,-0.436736729833015,-0.5048279311141216,-0.4909886389571533,-0.36836124547148347,-0.17979136775294968,-0.022971566414132085,-0.3120304358048597,-0.6390918988331727,-0.7810859783281382,-0.8268457859500764,-0.8420321226208778
Northolt,1,Central,51.54821230018008,-0.3684405875976204,-0.2733456930400762,1.3628946805686601,2.468704867382599,2.072074929897493,0.7075313786044811,-0.0318653149365881,-0.24302568465597554,-0.31441119129634093,-0.37579024336350986,-0.4549900462029194,-0.33155156740287123,-0.27470720937559095,-0.2835621288457725,-0.4985443349987722,-0.7164202894381451,-0.8793433159697305,-0.937757544575932,-0.9958912923510073
Greenford,2,Central,51.54197950701463,-0.3458787331310219,-0.37916801337653,1.5847536731487817,2.377534195284163,1.9303852812019011,0.48644653347429373,-0.2732300879948374,-0.42749413378544715,-0.5334316748841784,-0.5159885669665389,-0.5590927161075714,-0.3472787835645022,0.15713926896627603,0.3119119996609598,-0.20843156433858712,-0.6809135946969144,-0.8982534537798409,-0.9832918266229173,-1.0415965356185108
Perivale,3,Central,51.53634129467288,-0.3230704159011666,-0.6582077766641908,0.9940285550253232,2.4543382918701777,2.1769185443890886,0.5989476708936561,-0.21939152779345794,-0.4025832101856858,-0.4443232951335557,-0.4771024285750354,-0.5044556898168107,-0.4141444012157486,-0.014271816087076103,0.47750815996764284,-0.044939235088307106,-0.679903162266011,-0.8763512869367043,-0.9461144170914019,-1.0199529752919059
Hanger Lane,4,Central,51.5300715563412,-0.29299614055716494,-0.9067176933659039,0.516753825685233,1.8712143813270012,1.7856171885011478,0.33885433160298933,-0.36477701244734373,-0.5155366993022866,-0.5787932287517984,-0.6012398132082214,-0.5563122144554692,-0.2292652763305545,0.6888109163433191,1.752320529043566,0.5835229582456555,-0.6064325023427412,-0.9443018583249023,-1.0499398888604923,-1.1837779433592026
Ealing Broadway,3,Central,51.51486148277942,-0.3020103761336258,-0.957013549821582,0.17490443995231914,2.0547503106469645,2.6304320941231474,0.759403516593343,-0.2191872125937896,-0.3870059335168562,-0.3869505241782373,-0.38759860320211514,-0.4219864756680051,-0.20044656888048543,0.3256595062370949,0.5211883067560384,0.0049160336816406625,-0.5603549390371113,-0.8654852350662567,-0.9937420557149033,-1.0914831103112006
West Acton,3,Central,51.51776969314101,-0.28065717090448683,-0.8788413576515455,0.11588012973814503,1.890535522459736,2.6905874448491054,0.924069871808668,-0.07533801195479431,-0.31575147957563643,-0.41917440911117754,-0.43081861297867813,-0.3759443253071092,0.3008415038944109,0.11487861335723913,0.2724646084701726,-0.014464523183184879,-0.6313487224393213,-0.95599480799083,-1.069212395163973,-1.1423690492212275
North Acton,4,Central,51.523432004609894,-0.2597295239222282,-1.1816010365578953,-0.5529847896843746,0.6194310271233414,1.884327747434683,0.7514571355697612,-0.11794248703009483,-0.382477801232064,-0.38999534115731266,-0.414010390956039,-0.42880818076794563,-0.14461339042718327,0.9796201305467698,2.1956886257326698,0.834291729806329,-0.4611995268757878,-0.9381577468683487,-1.0890377567984582,-1.163987947858048
East Acton,1,Central,51.51626301045364,-0.2481122212813141,-1.0962955265803955,-0.05929606022964821,1.4798500829074996,2.549271658803126,0.942868610370817,-0.1103124701132087,-0.3160575135621967,-0.3758144231431618,-0.3797082667268246,-0.33462493824261363,-0.021545675934490482,0.7204960273681248,1.0017525426681644,-0.006687454629856889,-0.6858161801431609,-0.9087631778241441,-1.1298762182269897,-1.269441016761039
White City,3,Central,51.51223207227981,-0.2246319285152728,-1.1807457149419507,-0.8728431381904928,-0.2088078031318882,0.3643955762061494,-0.2626818653304806,-0.650104627245285,-0.6435777182563802,-0.5253032061417098,-0.4361659857556426,-0.3100407879623776,0.18221541921620096,1.292769486053205,2.711205376684739,1.811534375861221,0.22800124675072858,-0.32509332920491296,-0.5007310957316723,-0.6740262088794544
Shepherds Bush,4,Central,51.504531795613886,-0.2185191566688487,-1.8005521756968805,-0.9948522174579276,0.6495275359893754,2.1433766754512615,0.7190527984998003,-0.5255422717031056,-0.6989411313516825,-0.6088993221584675,-0.4834358454896127,-0.37764961158366667,0.055016905002350514,0.6802417128857461,1.5227366387071182,1.3724549276671192,0.10796311275625112,-0.522251677207306,-0.6657526990941208,-0.5724933552162581
Holland Park,4,Central,51.50714614814041,-0.20655777541232848,-1.5132547323763794,-1.0735884028326281,0.31511210636080644,1.627126383093226,0.6444820857061645,-0.2034276214464473,-0.3074938029883364,-0.23788757165118068,-0.26595460493261625,-0.2072043200889738,0.49933995988521757,1.526449003754874,1.8502208382725291,0.8034729892457428,-0.3266236878070264,-0.8431914316550493,-1.086120147414485,-1.2014570431254359
