Station,Cluster,Line,Latitude,Longitude,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00
White City,5,Central,51.51223207227981,-0.2246319285152728,-1.2505799951728866,-0.9402656867968398,-0.38555872093905674,0.10461037063321965,-0.399597666051301,-0.6918462466753543,-0.6373295338413922,-0.4648670299072779,-0.33861814373238736,-0.15729060096925668,0.43458854471938385,1.5417968966368094,2.5963691453400295,1.7126568187628959,0.20996814067372624,-0.24856754843897869,-0.37390868155260115,-0.7115600626887316
Shepherds Bush,3,Central,51.504531795613886,-0.2185191566688487,-1.8795196700354069,-1.0483605028025278,0.24941081839550586,1.2247879170769531,0.24165075887549817,-0.5784552214779333,-0.6481715664331836,-0.5308592817327968,-0.36830302042603336,-0.18944277784790597,0.31224396216436706,1.147020897409867,2.0750812732092085,1.6283245591327344,0.18645046658552508,-0.473654337765976,-0.6510834942722044,-0.69712078005569
Holland Park,5,Central,51.50714614814041,-0.20655777541232848,-1.5656147992739897,-1.2020922295300942,-0.05077083311758529,1.2272586482143835,0.4902041024687741,-0.09807493401618707,-0.18037241274432783,-0.10923194177088992,-0.11518378012104193,0.04106387227844844,0.9118185599578932,1.800614007930466,1.6919766471582658,0.7703270323987952,-0.32939000329679347,-0.9149659159447487,-1.1221894019433953,-1.2453766186479693
Notting Hill Gate,4,Central,51.50937501801177,-0.19592161622639087,-1.829835158097801,-1.4546311582722207,-0.40018207820283214,0.8322826735922513,0.30714150928931944,-0.2945428105376508,-0.28964626711445796,-0.12286595511102877,-0.0139642679151916,0.20060393881483277,0.7229904209139504,1.5447393608520155,1.8584236261463902,1.3767472070402964,0.052475489939197484,-0.6791860884540983,-0.8808614529269795,-0.929688989955999
Queensway,4,Central,51.51044892854765,-0.1874199010483689,-1.9169381753784123,-1.5632891061527612,-0.7397290761512684,0.5603297314614236,0.8528434436478934,0.6345386626733268,0.1462629651613601,-0.1008539003430751,-0.19486177278604286,-0.01983339818969359,0.6801507755194959,1.6716774710193822,1.6502399696395655,0.9290017511130468,-0.20151702371081878,-0.642260801607177,-0.8727115629119208,-0.873049953004327
Lancaster Gate,4,Central,51.511890658328326,-0.17542992678979158,-1.862644122988703,-1.6056762989955407,-0.7120806101969583,1.0540601941386565,1.3893017681052209,0.918501807634522,0.24055186889433705,-0.025520528621519708,-0.12849570874166422,-0.009969072541969602,0.5668620920051884,1.1313853573325383,1.2126784119995069,0.8427659116418326,-0.192130481151444,-0.8379716995424954,-1.008139059358073,-0.9734798296134304
Marble Arch,4,Central,51.51396523465938,-0.15857121479275763,-1.499421489908826,-1.321433936843036,-1.0497081177113847,-0.6647026448461477,-0.7101698138378199,-0.7374440568141025,-0.651772556385149,-0.45547889249696166,-0.2532995708972451,-0.022705605993306656,0.5222788893322639,1.36888479031192,2.0146632583376145,1.60527094306797,0.6640589364038918,0.29488144400370486,0.3984910655535543,0.4976073587230609
Bond Street,5,Central & Jubilee,51.513797282327445,-0.14961360853164615,-1.166924339728704,-1.11824423279448,-1.044619987253039,-0.9500253881602441,-0.8878617311206874,-0.7787668206954317,-0.5980572421337613,-0.37824596644257347,-0.18856484541353336,0.07600317051428251,0.5235181540781136,1.1810148926355708,2.0867547232631263,1.9029397994034785,0.826924583886624,0.3197369954055897,0.15909030857848738,0.03532792597718235
Oxford Circus,5,Central & Victoria,51.51522317440166,-0.1408361701333405,-1.2431352542954677,-1.2043853937252744,-1.1534887839472048,-1.0735437121677869,-0.9936353789334068,-0.8479123383525594,-0.6292338181319972,-0.3613421684275411,-0.11775793349988171,0.16921249257546997,0.5917943530064097,1.1765805036020007,1.7402674441914907,1.6791056191257059,1.0531480830935394,0.5977571371114074,0.36644983322780716,0.25011931554729094
Tottenham Court Road,5,Central & Northern,51.516210657936185,-0.1311104379402324,-1.2530082346209102,-1.164513706365592,-1.057529060212066,-0.9249599261761119,-0.8892501036233301,-0.8656847509269686,-0.7405035034840453,-0.5288538254981672,-0.3068622429374061,-0.08021810921143253,0.3456748648367238,0.9719383780946406,1.8063490756891702,1.719076915829446,0.7685758005918942,0.44613023788810413,0.7731117184485359,0.9805264716775202
Holborn,5,Central,51.51723554139566,-0.11984050660293674,-1.2867975471198696,-1.2093479196409782,-1.1006973464704402,-0.9730878757255548,-0.8759610244129348,-0.7510747908281356,-0.5790582754335112,-0.2753587540507217,-0.08973199823053617,0.07619939548850005,0.5356457094422418,1.3101151174026642,2.1280671826117064,1.6774642678698493,0.6487135024672744,0.2922582973068848,0.2748389944141532,0.19781306490940556
Chancery Lane,5,Central,51.518493835819875,-0.11196202676241712,-1.0293754158148796,-0.9798863563184427,-0.8933021058092212,-0.7728054915324565,-0.7174980560164252,-0.6171339558844761,-0.4255504633593408,-0.1487430103742401,-0.10076445006469253,-0.0430840543434725,0.35089491918972887,1.2228521948490665,2.4575386742362055,2.040570012951538,0.5519558541128896,-0.08658181397188605,-0.3247696827691533,-0.4843167990807418
St. Pauls,5,Central,51.514835138739876,-0.09757100011698537,-1.108455298393859,-1.0506296624914448,-0.9792109788054331,-0.8554692081878987,-0.7497705887333583,-0.6284425461605525,-0.4039487721891662,-0.12817650653634904,-0.037420874129959814,0.1617532745238721,0.6206131195588384,1.4723864640274396,2.3797594792108385,1.7517144062055607,0.44169020484469124,-0.09728621870309066,-0.3176834015543953,-0.471422892485735
Bank,1,Central & Northern,51.51334691914183,-0.08900012349437465,-0.9461394140910195,-0.8593784283798889,-0.7537894873852512,-0.6810579520853515,-0.6810140989187016,-0.6469333859941607,-0.5311429073607441,-0.3928951813375286,-0.34303571966389623,-0.21691546345946025,0.10066561981334211,1.001014438105925,2.645255529404938,2.101576246043267,0.5876672759925244,-0.002709927412349286,-0.13324778755195954,-0.2479193557196846
Liverpool Street,1,Central,51.51759813225402,-0.08224962188885442,-1.5623789847854637,-1.0123799814038235,-0.1791607189176122,0.49822052276820195,-0.04627089624676061,-0.43354541094133653,-0.5233967478135185,-0.45298276039869706,-0.3815210852937282,-0.2810062074419286,0.13364086541552903,1.0968282974612227,2.5024829977083813,1.9580209950171086,0.31310676908156926,-0.3745232607725215,-0.535836108192319,-0.7192982852443053
Bethnal Green,3,Central,51.527191653122124,-0.05539211145016204,-1.850329181426373,-0.9277323384500864,0.5763985716600403,2.2649224384103186,1.236974955224597,0.010345710982827654,-0.2986458931786409,-0.3522744186629011,-0.3118191259568006,-0.20103469033875027,0.18727955635864954,0.603928978622738,1.1466670253575053,0.9473898617510873,-0.17792045391055944,-0.8582886441425519,-1.0047806309021803,-0.9910817213989281
Mile End,4,Central,51.525310919564504,-0.0326660842711517,-1.7821587815072388,-0.9874922946713213,0.3707062245405946,1.7138974075151447,0.5570465224842996,-0.3119671812145129,-0.3341408136844205,-0.16645242883541697,0.013436625437868714,0.10752483779033653,0.586100033158291,1.149193539512464,1.5243834193523036,1.1029407794962727,-0.14706845927542428,-0.8507738504247988,-1.1577144155261294,-1.387461164148301
Stratford,4,Central & Jubilee,51.54169257587399,-0.003751641027190752,-1.905734364121697,-0.37823268709590163,0.4294218095316681,0.7904057883709641,-0.16055349445581554,-0.6556486622390998,-0.6500758571654167,-0.4081938533306935,-0.05732847738899208,0.2589899631446215,0.6836783410898302,1.5224182165556857,1.9330881837706477,1.226664784503669,0.1697096069799717,-0.41772477343477016,-0.846621262528846,-1.5342632621858199
Leyton,2,Central,51.55813226231266,-0.006465331580603041,-0.6441917257402627,1.540281192686197,2.162728955671466,2.0781344239944763,0.8748250851181526,-0.05799287156298751,-0.3419516454440554,-0.43228873466383677,-0.419694841049866,-0.45933601112421313,-0.371986020735651,-0.11244707714731328,0.04794019768967482,-0.16850951962036348,-0.6105135230424431,-0.902388927828476,-1.0353732608337072,-1.147235696366797
Leytonstone,0,Central & Central,51.56852230672617,0.009140451957061277,-0.823227852686252,0.8231524023336104,1.9293812121082463,2.440992611846196,0.9754476442867661,-0.039594861126258235,-0.25991879723920186,-0.3437097620421993,-0.4121040335087272,-0.4424807448509787,-0.2316035255939963,0.08660127345574443,0.35304718836828164,-0.014070375175733243,-0.6610849406130669,-1.002878173499464,-1.1484734290827112,-1.2294758369802556
Snaresbrook,1,Central,51.58089131157066,0.021463927810755047,-0.8812766171064073,0.13379591259019105,1.8754041530848502,2.6087285208003035,0.8185305002111702,-0.09845519455463511,-0.21529894591917895,-0.3089372832873499,-0.43088925337984707,-0.44448270254866895,0.14221509357638096,0.770923264504184,0.24516159222667616,-0.28744598974125896,-0.7807414714485438,-0.982381001187668,-1.0441034106716485,-1.120747167148553
South Woodford,1,Central,51.59155266475493,0.02794307837440943,-0.7687080387591455,0.592879640596622,2.073885614731548,2.5722148255508794,0.9136929047792148,0.04703810452931143,-0.1626619555754976,-0.24689312267244318,-0.33836488657439323,-0.4474900923862102,-0.3706277452453489,-0.08240737669102101,0.19840302255645242,-0.1823491788990329,-0.7222321794853944,-0.9610706435096188,-1.0278419014568605,-1.0874669914890658
Woodford,1,Central,51.607201902790344,0.034056202416625964,-0.5742680756392535,0.7162784695520048,2.2523477940835788,2.4384361654962055,0.8868915533662293,0.11523593116029673,-0.15508079598952762,-0.2613677535761372,-0.39125023552869953,-0.4613478336077405,-0.2806707083041434,-0.12183106847818777,-0.022755329445032883,-0.334069070749411,-0.7690538098022062,-0.9520485592926412,-1.0122340006297914,-1.0732126726155433
Buckhurst Hill,6,Central,51.62657674004732,0.04671254142876922,-0.5722306448260478,0.5347989486156692,2.446777845678772,2.5690015849581913,0.5705910933759031,-0.05186573984432828,-0.20778998886819364,-0.2871546301543278,-0.3999858685143661,-0.48961238409744406,-0.4032636735740943,-0.15069817340486585,-0.00891958519451836,-0.306983946867977,-0.6623432972451884,-0.7845156094692779,-0.8886719599361258,-0.907133970631784
Loughton,2,Central,51.641570570828016,0.055279079287447894,-0.6357834833439592,0.7218368974819128,2.5652446843739143,2.2251953415883063,0.4612028205762875,-0.09605120882746357,-0.2676025381992432,-0.3490807432684792,-0.454369120277363,-0.2593769916396722,0.15002796321949674,0.011101682614885986,0.07401199933073895,-0.31435784228843716,-0.7635037254696032,-0.965781874683585,-1.0386969560845356,-1.064016905103199
Debden,3,Central,51.64549214152591,0.08380147525632461,-0.6030560546222454,1.1734750061594792,2.0951369427880495,1.6404313832211823,0.20583392910722204,-0.3083397984383306,-0.5141182520495403,-0.3893371129370135,-0.48754692584335024,-0.2731508298794654,0.3601910397763247,1.021298921264384,0.8868011163443313,-0.2408464968526326,-0.9272200483078323,-1.1171281139139264,-1.2030198966568126,-1.3194048091598256
Theydon Bois,6,Central,51.67255225418,0.10289073688168189,-0.20495966919487807,1.3033808821199628,2.965957979959186,1.623122545740541,0.06892183643006204,-0.2607447627165251,-0.3492388516002663,-0.41074977020397047,-0.4845850697720168,-0.3400350298209966,0.030702300589297928,0.061445492657278035,-0.13107526181535503,-0.5130103989793906,-0.7793796705733583,-0.8781326953427351,-0.8862021357047023,-0.815417721772131
Wanstead,1,Central,51.574902199570865,0.02876047243622503,-1.082444192848706,-0.15215985152952133,1.8315274177775,2.701952175231278,0.840629438368306,0.16910728232742883,-0.05008807520957516,-0.14086843195909768,-0.29083168014423477,-0.2973496625685187,-0.07741433995431618,0.1444219675425839,0.39726643378862825,-0.04320201582216632,-0.6935674219359554,-0.9922853847567704,-1.0943105914108253,-1.1703830668960427
