Station,Cluster,Line,Latitude,Longitude
Baker Street,3,Jubilee,51.52312936605881,-0.15690419298618452
St. Johns Wood,4,Jubilee,51.53485412839329,-0.1740648386620702
Swiss Cottage,3,Jubilee,51.5430345616616,-0.1756266026411379
Finchley Road,3,Jubilee,51.547095906434386,-0.18005055863249353
West Hampstead,1,Jubilee,51.54747402267271,-0.19112658344309522
Kilburn,0,Jubilee,51.54694410286596,-0.2046327166992552
Willesden Green,1,Jubilee,51.54937292482699,-0.22240760124964687
Dollis Hill,0,Jubilee,51.55185020227431,-0.23879775836475764
Neasden,0,Jubilee,51.554627310041155,-0.2501150416936122
Wembley Park,3,Jubilee,51.563322003491564,-0.2792425481111569
Kingsbury,0,Jubilee,51.58487606349117,-0.2786016037131724
Queensbury,1,Jubilee,51.59388250931327,-0.286331592620629
Canons Park,1,Jubilee,51.60765009028535,-0.294391591494146
Stanmore,1,Jubilee,51.619672950483576,-0.3030992875952985
Brixton,6,Victoria,51.46273661697816,-0.11455209682922837
Vauxhall,3,Victoria,51.48573560145266,-0.12382995197041927
Pimlico,4,Victoria,51.48955264664939,-0.13310825739138485
Victoria,3,Victoria,51.49642371956767,-0.14392070512630392
Highbury and Islington,3,Victoria,51.54649533884997,-0.10408213923935299
Finsbury Park,1,Victoria,51.564635274841386,-0.10588148552890234
Seven Sisters,3,Victoria,51.58336204399537,-0.07246682251889108
Tottenham Hale,0,Victoria,51.58799768229062,-0.06018782248556836
Blackhorse Road,1,Victoria,51.58577656484627,-0.039625711465052844
Walthamstow Central,0,Victoria,51.58301808337606,-0.019940545005550973
